Country,Area,Months,Year,temperature,MonthCode
BIH,Bosnia and Herzegovina,March,1961,0,3
BIH,Bosnia and Herzegovina,April,1961,0,4
BIH,Bosnia and Herzegovina,May,1961,0,5
BIH,Bosnia and Herzegovina,June,1961,0,6
BIH,Bosnia and Herzegovina,July,1961,0,7
BIH,Bosnia and Herzegovina,August,1961,0,8
BIH,Bosnia and Herzegovina,September,1961,0,9
BIH,Bosnia and Herzegovina,October,1961,0,10
BIH,Bosnia and Herzegovina,November,1961,0,11
BIH,Bosnia and Herzegovina,December,1961,0,12
BOT,Botswana,January,1961,-0.728,1
BOT,Botswana,February,1961,-0.181,2
BOT,Botswana,March,1961,-0.541,3
BOT,Botswana,April,1961,0.59,4
BOT,Botswana,May,1961,1.148,5
BOT,Botswana,June,1961,0.6,6
BOT,Botswana,July,1961,1.185,7
BOT,Botswana,August,1961,-1.437,8
BOT,Botswana,September,1961,0.994,9
BOT,Botswana,October,1961,-0.018,10
BOT,Botswana,November,1961,-0.32,11
BOT,Botswana,December,1961,0.031,12
BRA,Brazil,January,1961,-0.108,1
BRA,Brazil,February,1961,-0.243,2
BRA,Brazil,March,1961,-0.018,3
BRA,Brazil,April,1961,0.218,4
BRA,Brazil,May,1961,0.325,5
BRA,Brazil,June,1961,-0.216,6
BRA,Brazil,July,1961,0.033,7
BRA,Brazil,August,1961,0.441,8
BRA,Brazil,September,1961,0.779,9
BRA,Brazil,October,1961,0.304,10
BRA,Brazil,November,1961,0.491,11
BRA,Brazil,December,1961,-0.199,12
BUL,Bulgaria,January,1961,0.162,1
BUL,Bulgaria,February,1961,0.124,2
BUL,Bulgaria,March,1961,2.276,3
BUL,Bulgaria,April,1961,2.624,4
BUL,Bulgaria,May,1961,-0.793,5
BUL,Bulgaria,June,1961,0.208,6
BUL,Bulgaria,July,1961,-0.529,7
BUL,Bulgaria,August,1961,-0.034,8
BUL,Bulgaria,September,1961,-0.154,9
BUL,Bulgaria,October,1961,0.451,10
BUL,Bulgaria,November,1961,2.009,11
BUL,Bulgaria,December,1961,-0.965,12
BDI,Burundi,January,1961,0.018,1
BDI,Burundi,February,1961,-0.639,2
BDI,Burundi,March,1961,-0.276,3
BDI,Burundi,April,1961,0.201,4
BDI,Burundi,May,1961,0.649,5
BDI,Burundi,June,1961,0.299,6
