Country,Area,Months,Year,temperature
BOT,Botswana,February,1961,-0.181
BOT,Botswana,March,1961,-0.541
BOT,Botswana,April,1961,0.59
BOT,Botswana,May,1961,1.148
BOT,Botswana,June,1961,0.6
BOT,Botswana,July,1961,1.185
BOT,Botswana,August,1961,-1.437
BOT,Botswana,September,1961,0.994
BOT,Botswana,October,1961,-0.018
BOT,Botswana,November,1961,-0.32
BOT,Botswana,December,1961,0.031
BRA,Brazil,January,1961,-0.108
BRA,Brazil,February,1961,-0.243
BRA,Brazil,March,1961,-0.018
BRA,Brazil,April,1961,0.218
BRA,Brazil,May,1961,0.325
BRA,Brazil,June,1961,-0.216
BRA,Brazil,July,1961,0.033
BRA,Brazil,August,1961,0.441
BRA,Brazil,September,1961,0.779
BRA,Brazil,October,1961,0.304
BRA,Brazil,November,1961,0.491
BRA,Brazil,December,1961,-0.199
BUL,Bulgaria,January,1961,0.162
BUL,Bulgaria,February,1961,0.124
BUL,Bulgaria,March,1961,2.276
BUL,Bulgaria,April,1961,2.624
BUL,Bulgaria,May,1961,-0.793
BUL,Bulgaria,June,1961,0.208
BUL,Bulgaria,July,1961,-0.529
BUL,Bulgaria,August,1961,-0.034
BUL,Bulgaria,September,1961,-0.154
BUL,Bulgaria,October,1961,0.451
BUL,Bulgaria,November,1961,2.009
BUL,Bulgaria,December,1961,-0.965
BDI,Burundi,January,1961,0.018
BDI,Burundi,February,1961,-0.639
BDI,Burundi,March,1961,-0.276
BDI,Burundi,April,1961,0.201
BDI,Burundi,May,1961,0.649
BDI,Burundi,June,1961,0.299
BDI,Burundi,July,1961,0.491
BDI,Burundi,August,1961,0.092
BDI,Burundi,September,1961,0.678
BDI,Burundi,October,1961,-0.492
BDI,Burundi,November,1961,-0.923
BDI,Burundi,December,1961,0.13
CAM,Cambodia,January,1961,-0.343
CAM,Cambodia,February,1961,0.349
CAM,Cambodia,March,1961,0.231
CAM,Cambodia,April,1961,-0.08
CAM,Cambodia,May,1961,-0.319
CAM,Cambodia,June,1961,-0.308
CAM,Cambodia,July,1961,-0.069
CAM,Cambodia,August,1961,-0.088
CAM,Cambodia,September,1961,0.147
CAM,Cambodia,October,1961,-0.431
CAM,Cambodia,November,1961,0.43
CAM,Cambodia,December,1961,0.589
CMR,Cameroon,January,1961,0.314
CMR,Cameroon,February,1961,-1.085
CMR,Cameroon,March,1961,-0.115
CMR,Cameroon,April,1961,0.033
CMR,Cameroon,May,1961,0.526
CMR,Cameroon,June,1961,-0.152
CMR,Cameroon,July,1961,-0.424
CMR,Cameroon,August,1961,-0.328
CMR,Cameroon,September,1961,-0.314
CMR,Cameroon,October,1961,-0.203
CMR,Cameroon,November,1961,-0.308
CMR,Cameroon,December,1961,-0.714
CAN,Canada,January,1961,0.462
CAN,Canada,February,1961,0.301
CAN,Canada,March,1961,-1.023
CAN,Canada,April,1961,-0.222
CAN,Canada,May,1961,-0.839
CAN,Canada,June,1961,0.757
CAN,Canada,July,1961,0.592
CAN,Canada,August,1961,0.548
CAN,Canada,September,1961,-0.666
CAN,Canada,October,1961,-1.096
CAN,Canada,November,1961,0.126
CAN,Canada,December,1961,-0.672
CHI,Chile,January,1961,-0.34
CHI,Chile,February,1961,-0.169
CHI,Chile,March,1961,-0.583
CHI,Chile,April,1961,-0.451
CHI,Chile,May,1961,-0.139
CHI,Chile,June,1961,-1.184
CHI,Chile,July,1961,-0.642
CHI,Chile,August,1961,0.679
CHI,Chile,September,1961,-0.51
CHI,Chile,October,1961,0.126
CHI,Chile,November,1961,-0.299
CHI,Chile,December,1961,-0.232
CHN,China,January,1961,-0.012
CHN,China,February,1961,0.353
CHN,China,March,1961,0.275
CHN,China,April,1961,0.884
CHN,China,May,1961,-0.135
CHN,China,June,1961,0.762
CHN,China,July,1961,0.57
CHN,China,August,1961,0.115
CHN,China,September,1961,0.243
CHN,China,October,1961,0.018
CHN,China,November,1961,0.606
CHN,China,December,1961,-0.325
COL,Colombia,January,1961,0.289
COL,Colombia,February,1961,0.148
COL,Colombia,March,1961,0.327
COL,Colombia,April,1961,0.171
COL,Colombia,May,1961,0.561
COL,Colombia,June,1961,-0.072
COL,Colombia,July,1961,-0.227
COL,Colombia,August,1961,0.194
COL,Colombia,September,1961,-0.057
COL,Colombia,October,1961,-0.024
COL,Colombia,November,1961,-0.485
COL,Colombia,December,1961,-0.209
COK,Cook Islands,January,1961,0.134
COK,Cook Islands,February,1961,-0.07
COK,Cook Islands,March,1961,-0.534
COK,Cook Islands,April,1961,0.025
COK,Cook Islands,May,1961,0.232
COK,Cook Islands,June,1961,-0.324
COK,Cook Islands,July,1961,0.079
